model,fpr,tpr,auc
1_SHARDS_VACTOR,0.0,0.0,0.5860215349558694
1_SHARDS_VACTOR,0.4401840490797546,0.6122271189914933,0.5860215349558694
1_SHARDS_VACTOR,1.0,1.0,0.5860215349558694
